latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
4.1.0,673.3167,-182.74292,83.0,"Wed, 07 Dec 2022 00:00:00 GMT",40759406.0,0.31125978,-0.11096284,,1.0,1.0,60.345528,"Wed, 30 Mar 2022 14:31:11 GMT",,83.0,F1,"Wed, 30 Mar 2022 14:31:11 GMT",69008563,2009-08-26T15:19:37.000Z,F1,Formula 1,See you in 2023!,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/GumNgQuzik"", ""expanded_url"": ""https://www.F1.com"", ""display_url"": ""F1.com""}]",,,https://pbs.twimg.com/profile_images/1510909017996111880/Yj6olIie_normal.jpg,False,8886571,85,34132,78370,https://t.co/GumNgQuzik,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,236.52362,-149.30609,83.0,"Wed, 07 Dec 2022 00:00:00 GMT",40759531.0,0.8180102,-0.06692624,,93.0,126.0,2.2398386,"Wed, 30 Mar 2022 14:31:11 GMT",,83.0,F1,"Wed, 30 Mar 2022 14:31:11 GMT",1622716321,2013-07-26T11:03:38.000Z,SportmphMark,Mark Hughes,"F1 for Motor Sport magazine, https://t.co/Nu32tqsLno, https://t.co/byDAqbBKpp and SkyF1.",,,,"[{""start"": 29, ""end"": 52, ""url"": ""https://t.co/Nu32tqsLno"", ""expanded_url"": ""http://the-race.com"", ""display_url"": ""the-race.com""}, {""start"": 54, ""end"": 77, ""url"": ""https://t.co/byDAqbBKpp"", ""expanded_url"": ""http://F1.com"", ""display_url"": ""F1.com""}]",,,,https://pbs.twimg.com/profile_images/378800000190740762/14067e49c076920e182da141bd235f89_normal.jpeg,False,39664,409,1200,6987,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,66.030426,39.98092,137.0,"Wed, 07 Dec 2022 00:00:00 GMT",40517185.0,0.12159555,-0.016949162,,1014.0,1134.0,0.0,"Sat, 28 May 2022 17:37:42 GMT",,137.0,Biotech,"Sat, 28 May 2022 17:37:42 GMT",87679233,2009-11-05T12:58:35.000Z,AlexBerenson,Alex Berenson,"Author of Tell Your Children and Pandemia. Back and better than ever. For more information, sign up for my Substack at https://t.co/ZWNQLVYt6l",,,,"[{""start"": 119, ""end"": 142, ""url"": ""https://t.co/ZWNQLVYt6l"", ""expanded_url"": ""http://alexberenson.substack.com"", ""display_url"": ""alexberenson.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/B75By8xZ7F"", ""expanded_url"": ""http://www.alexberenson.com"", ""display_url"": ""alexberenson.com""}]",New York,1603144383720587265,https://pbs.twimg.com/profile_images/1288215336618201088/L_qGJGkg_normal.jpg,False,430276,208,2604,20088,https://t.co/B75By8xZ7F,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,2.75316,0.0,377.0,"Wed, 07 Dec 2022 00:00:00 GMT",40167656.0,0.10566884,0.0,,6937.0,9229.0,0.0,"Fri, 02 Dec 2022 15:37:10 GMT",,377.0,Personal Finance,"Fri, 02 Dec 2022 15:37:10 GMT",87679233,2009-11-05T12:58:35.000Z,AlexBerenson,Alex Berenson,"Author of Tell Your Children and Pandemia. Back and better than ever. For more information, sign up for my Substack at https://t.co/ZWNQLVYt6l",,,,"[{""start"": 119, ""end"": 142, ""url"": ""https://t.co/ZWNQLVYt6l"", ""expanded_url"": ""http://alexberenson.substack.com"", ""display_url"": ""alexberenson.substack.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/B75By8xZ7F"", ""expanded_url"": ""http://www.alexberenson.com"", ""display_url"": ""alexberenson.com""}]",New York,1603144383720587265,https://pbs.twimg.com/profile_images/1288215336618201088/L_qGJGkg_normal.jpg,False,430276,208,2604,20088,https://t.co/B75By8xZ7F,True,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1558561668204052485,2022-08-13T21:10:56.000Z,WokeArchive,Woke Archive,repository of woke garbage,,,,,,A Hill to Die On,1598038982474227713,https://pbs.twimg.com/profile_images/1595311407263784960/OjXocccL_normal.jpg,False,34653,999,90,413,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,170.75412,0.0,375.0,"Wed, 07 Dec 2022 00:00:00 GMT",40138015.0,0.5195175,0.0,,57.0,59.0,0.032678556,"Fri, 02 Dec 2022 15:37:10 GMT",,375.0,Biohacking,"Fri, 02 Dec 2022 15:37:10 GMT",1336857062,2013-04-08T14:59:44.000Z,DrAndyGalpin,"Andy Galpin, PhD","Prof CSU Fullerton, PhD Human Bioenergetics, Muscle Physiology, Coach to Elite Performers (MMA, MLB, PGA, NFL, NBA, etc). @xptlife *Absolute Rest  *RAPID Health",,,"[{""start"": 122, ""end"": 130, ""username"": ""xptlife""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/f2ebi7E7kN"", ""expanded_url"": ""http://www.andygalpin.com"", ""display_url"": ""andygalpin.com""}]","Fullerton, CA",1599512841224351744,https://pbs.twimg.com/profile_images/1036281849192935424/aTXcMbHk_normal.jpg,False,42151,903,455,7188,https://t.co/f2ebi7E7kN,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,748.67725,0.0,300.0,"Wed, 07 Dec 2022 00:00:00 GMT",40406422.0,0.84645295,0.0,,59.0,64.0,11.864628,"Thu, 28 Jul 2022 14:25:42 GMT",,300.0,Barstool Sports,"Thu, 28 Jul 2022 14:25:42 GMT",2834382015,2014-10-16T17:50:52.000Z,franciscellis,Francis,"Co-host of Oops the Podcast, @barstoolsports",,,"[{""start"": 29, ""end"": 44, ""username"": ""barstoolsports""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/WByj44zxB5"", ""expanded_url"": ""http://francisellis.com/shows"", ""display_url"": ""francisellis.com/shows""}]","New York, NY",,https://pbs.twimg.com/profile_images/1207779831007498240/Tjlgp-tW_normal.jpg,False,151343,788,420,7034,https://t.co/WByj44zxB5,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,117.0229,0.0,375.0,"Wed, 07 Dec 2022 00:00:00 GMT",40138092.0,0.523842,0.0,,126.0,136.0,0.048250046,"Fri, 02 Dec 2022 15:37:10 GMT",,375.0,Biohacking,"Fri, 02 Dec 2022 15:37:10 GMT",855063326,2012-09-30T17:34:12.000Z,BradSchoenfeld,"Brad Schoenfeld, PhD","Researcher/educator on muscle building and fat loss. Author: ""The MAX Muscle Plan"" & ""Science and Development of Muscle Hypertrophy."" https://t.co/ye3quvBlEy",,,,"[{""start"": 134, ""end"": 157, ""url"": ""https://t.co/ye3quvBlEy"", ""expanded_url"": ""http://www.lookgreatnaked.com"", ""display_url"": ""lookgreatnaked.com""}]","[{""start"": 0, ""end"": 22, ""url"": ""http://t.co/myX3oVV4N5"", ""expanded_url"": ""http://workout911.com"", ""display_url"": ""workout911.com""}]",New York,,https://pbs.twimg.com/profile_images/703963877231431680/-EB5-OZ2_normal.jpg,False,74232,51,760,5933,http://t.co/myX3oVV4N5,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,138.1561,53.325592,137.0,"Wed, 07 Dec 2022 00:00:00 GMT",40516574.0,0.6232684,0.010348558,,471.0,523.0,0.0,"Sat, 28 May 2022 17:37:42 GMT",,137.0,Biotech,"Sat, 28 May 2022 17:37:42 GMT",1927482656,2013-10-02T16:47:52.000Z,DrMJoyner,Michael Joyner,"Physiologist & anesthesiologist Interested in human performance, views my own. Posts & RTs do not = endorsement.",,,,,,,788127763609681922,https://pbs.twimg.com/profile_images/1466951236645752834/WUXEgSw-_normal.jpg,False,14493,497,348,38491,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,59.603207,38.16758,178.0,"Wed, 07 Dec 2022 00:00:00 GMT",39834863.0,0.57770574,0.010575354,,614.0,762.0,0.028739994,"Fri, 17 Jun 2022 12:13:05 GMT",,178.0,Running,"Fri, 17 Jun 2022 12:13:05 GMT",1927482656,2013-10-02T16:47:52.000Z,DrMJoyner,Michael Joyner,"Physiologist & anesthesiologist Interested in human performance, views my own. Posts & RTs do not = endorsement.",,,,,,,788127763609681922,https://pbs.twimg.com/profile_images/1466951236645752834/WUXEgSw-_normal.jpg,False,14493,497,348,38491,,False,,,,2022-12-16T14:46:34+00:00,https://api.twitter.com/2/users/349347318/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
