latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
4.1.0,42.91086,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40806215.0,0.22750121,0.0,,3211.0,3921.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT",13235832,2008-02-08T05:20:41.000Z,natfriedman,Nat Friedman,mind over matter,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Lhh178JLlq"", ""expanded_url"": ""http://nat.org"", ""display_url"": ""nat.org""}]",California,1589285619079221250,https://pbs.twimg.com/profile_images/1677873294/image_normal.jpg,False,109696,14,1577,3331,https://t.co/Lhh178JLlq,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,551.8059,158.569,115.0,"Wed, 07 Dec 2022 00:00:00 GMT",39675984.0,0.6190834,0.00051414967,,23.0,24.0,0.0,"Tue, 24 May 2022 10:45:58 GMT",,115.0,Stripe,"Tue, 24 May 2022 10:45:58 GMT",13235832,2008-02-08T05:20:41.000Z,natfriedman,Nat Friedman,mind over matter,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Lhh178JLlq"", ""expanded_url"": ""http://nat.org"", ""display_url"": ""nat.org""}]",California,1589285619079221250,https://pbs.twimg.com/profile_images/1677873294/image_normal.jpg,False,109696,14,1577,3331,https://t.co/Lhh178JLlq,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,181.1771,64.37122,116.0,"Wed, 07 Dec 2022 00:00:00 GMT",40091180.0,0.4350844,-0.086705565,,318.0,332.0,0.22507223,"Tue, 24 May 2022 10:46:14 GMT",,116.0,Venture Capital,"Tue, 24 May 2022 10:46:14 GMT",13235832,2008-02-08T05:20:41.000Z,natfriedman,Nat Friedman,mind over matter,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Lhh178JLlq"", ""expanded_url"": ""http://nat.org"", ""display_url"": ""nat.org""}]",California,1589285619079221250,https://pbs.twimg.com/profile_images/1677873294/image_normal.jpg,False,109696,14,1577,3331,https://t.co/Lhh178JLlq,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,292.32047,36.77884,7799179296.0,"Wed, 07 Dec 2022 00:00:00 GMT",40978115.0,0.47996172,-0.014681846,,111.0,114.0,0.0,"Fri, 27 Aug 2021 15:14:17 GMT",,7799179296.0,YC,"Fri, 27 Aug 2021 15:14:17 GMT",13235832,2008-02-08T05:20:41.000Z,natfriedman,Nat Friedman,mind over matter,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Lhh178JLlq"", ""expanded_url"": ""http://nat.org"", ""display_url"": ""nat.org""}]",California,1589285619079221250,https://pbs.twimg.com/profile_images/1677873294/image_normal.jpg,False,109696,14,1577,3331,https://t.co/Lhh178JLlq,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,6.349625,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39942950.0,0.87567604,0.0,,1979.0,2342.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",1276920555409735684,2020-06-27T16:49:29.000Z,jack24dd30,jack,locked myself in a room doing five tweets a day for three summers,,,,,,,1430941246646886401,https://pbs.twimg.com/profile_images/1600847073812926466/Y1vnf55A_normal.jpg,False,1475,819,10,3645,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1577107131920261120,2022-10-04T01:23:43.000Z,plemy11,Lemy,humble data plumber,,,,,,New England ,1595928576280231937,https://pbs.twimg.com/profile_images/1601049885352009730/10fE1eH7_normal.jpg,False,622,229,4,1678,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,4.0386615,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40824921.0,0.4037662,0.0,,17431.0,22627.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT",1500869729765965824,2022-03-07T16:23:32.000Z,hedgefundmafia,brooke.usd,carolyn bessette stan | i wish them well 🏌️‍♀️,,,,,,The South,,https://pbs.twimg.com/profile_images/1550560814842748928/a1Q5k0od_normal.jpg,False,5816,1217,50,6304,,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,13.980442,0.0,66.0,"Wed, 07 Dec 2022 00:00:00 GMT",40811402.0,0.44013718,0.0,,7157.0,9108.0,0.0,"Tue, 16 Nov 2021 11:37:39 GMT",,66.0,Crypto,"Tue, 16 Nov 2021 11:37:39 GMT",25406814,2009-03-19T23:15:47.000Z,aashaysanghvi_,Aashay Sanghvi,"Software, technology. Seed & early stage @haystackvc.",,,"[{""start"": 41, ""end"": 52, ""username"": ""haystackvc""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Dy3NDamMis"", ""expanded_url"": ""http://aashaysanghvi.com"", ""display_url"": ""aashaysanghvi.com""}]",NYC,,https://pbs.twimg.com/profile_images/1577048914183786504/5u_rva5T_normal.jpg,False,10965,1865,272,7926,https://t.co/Dy3NDamMis,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,117.38457,-38.50772,116.0,"Wed, 07 Dec 2022 00:00:00 GMT",40091585.0,0.80011505,-0.053394556,,703.0,737.0,0.14212975,"Tue, 24 May 2022 10:46:14 GMT",,116.0,Venture Capital,"Tue, 24 May 2022 10:46:14 GMT",25406814,2009-03-19T23:15:47.000Z,aashaysanghvi_,Aashay Sanghvi,"Software, technology. Seed & early stage @haystackvc.",,,"[{""start"": 41, ""end"": 52, ""username"": ""haystackvc""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Dy3NDamMis"", ""expanded_url"": ""http://aashaysanghvi.com"", ""display_url"": ""aashaysanghvi.com""}]",NYC,,https://pbs.twimg.com/profile_images/1577048914183786504/5u_rva5T_normal.jpg,False,10965,1865,272,7926,https://t.co/Dy3NDamMis,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,12.942872,0.0,321.0,"Wed, 07 Dec 2022 00:00:00 GMT",40653438.0,0.69694674,0.0,,5023.0,5428.0,0.0,"Thu, 28 Jul 2022 14:25:43 GMT",,321.0,Product Management,"Thu, 28 Jul 2022 14:25:43 GMT",25406814,2009-03-19T23:15:47.000Z,aashaysanghvi_,Aashay Sanghvi,"Software, technology. Seed & early stage @haystackvc.",,,"[{""start"": 41, ""end"": 52, ""username"": ""haystackvc""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Dy3NDamMis"", ""expanded_url"": ""http://aashaysanghvi.com"", ""display_url"": ""aashaysanghvi.com""}]",NYC,,https://pbs.twimg.com/profile_images/1577048914183786504/5u_rva5T_normal.jpg,False,10965,1865,272,7926,https://t.co/Dy3NDamMis,False,,,,2022-12-16T04:48:33+00:00,https://api.twitter.com/2/users/1470200181010403334/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
