latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
4.1.0,74.83172,-141.68317,84.0,"Wed, 07 Dec 2022 00:00:00 GMT",41527742.0,0.5220058,-0.23063803,,157.0,232.0,0.90269804,"Wed, 30 Mar 2022 14:31:11 GMT",,84.0,Physics,"Wed, 30 Mar 2022 14:31:11 GMT",771583225466531840,2016-09-02T05:39:11.000Z,johncarlosbaez,John Carlos Baez,I have moved to Mathstodon.   I'm \n\n@johncarlosbaez@mathstodon.xyz\n\nand you can see my stuff here: \n\nhttps://t.co/kPeSld0fuY,,,,"[{""start"": 101, ""end"": 124, ""url"": ""https://t.co/kPeSld0fuY"", ""expanded_url"": ""https://mathstodon.xyz/web/@johncarlosbaez"", ""display_url"": ""mathstodon.xyz/web/@johncarlo\u2026""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/7zeTltXoVf"", ""expanded_url"": ""http://math.ucr.edu/home/baez/"", ""display_url"": ""math.ucr.edu/home/baez/""}]","Riverside, CA",1589698105498562562,https://pbs.twimg.com/profile_images/1587101872439033858/ad_Nhi4i_normal.jpg,False,68803,346,889,39316,https://t.co/7zeTltXoVf,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,265.9823,19.233917,192.0,"Wed, 07 Dec 2022 00:00:00 GMT",39710736.0,0.79777086,-0.00669837,,119.0,132.0,0.474328,"Fri, 17 Jun 2022 12:15:33 GMT",,192.0,Haskell,"Fri, 17 Jun 2022 12:15:33 GMT",771583225466531840,2016-09-02T05:39:11.000Z,johncarlosbaez,John Carlos Baez,I have moved to Mathstodon.   I'm \n\n@johncarlosbaez@mathstodon.xyz\n\nand you can see my stuff here: \n\nhttps://t.co/kPeSld0fuY,,,,"[{""start"": 101, ""end"": 124, ""url"": ""https://t.co/kPeSld0fuY"", ""expanded_url"": ""https://mathstodon.xyz/web/@johncarlosbaez"", ""display_url"": ""mathstodon.xyz/web/@johncarlo\u2026""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/7zeTltXoVf"", ""expanded_url"": ""http://math.ucr.edu/home/baez/"", ""display_url"": ""math.ucr.edu/home/baez/""}]","Riverside, CA",1589698105498562562,https://pbs.twimg.com/profile_images/1587101872439033858/ad_Nhi4i_normal.jpg,False,68803,346,889,39316,https://t.co/7zeTltXoVf,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,257.34583,94.27347,239.0,"Wed, 07 Dec 2022 00:00:00 GMT",41266087.0,0.7921136,0.09210336,,98.0,105.0,0.38074473,"Thu, 28 Jul 2022 14:25:40 GMT",,239.0,Functional Programming,"Thu, 28 Jul 2022 14:25:40 GMT",771583225466531840,2016-09-02T05:39:11.000Z,johncarlosbaez,John Carlos Baez,I have moved to Mathstodon.   I'm \n\n@johncarlosbaez@mathstodon.xyz\n\nand you can see my stuff here: \n\nhttps://t.co/kPeSld0fuY,,,,"[{""start"": 101, ""end"": 124, ""url"": ""https://t.co/kPeSld0fuY"", ""expanded_url"": ""https://mathstodon.xyz/web/@johncarlosbaez"", ""display_url"": ""mathstodon.xyz/web/@johncarlo\u2026""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/7zeTltXoVf"", ""expanded_url"": ""http://math.ucr.edu/home/baez/"", ""display_url"": ""math.ucr.edu/home/baez/""}]","Riverside, CA",1589698105498562562,https://pbs.twimg.com/profile_images/1587101872439033858/ad_Nhi4i_normal.jpg,False,68803,346,889,39316,https://t.co/7zeTltXoVf,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,293.46667,0.0,7799179310.0,"Wed, 07 Dec 2022 00:00:00 GMT",40362258.0,0.7698634,0.0,,12.0,17.0,7.1018677,"Fri, 27 Aug 2021 15:14:17 GMT",,7799179310.0,Mathematics,"Fri, 27 Aug 2021 15:14:17 GMT",771583225466531840,2016-09-02T05:39:11.000Z,johncarlosbaez,John Carlos Baez,I have moved to Mathstodon.   I'm \n\n@johncarlosbaez@mathstodon.xyz\n\nand you can see my stuff here: \n\nhttps://t.co/kPeSld0fuY,,,,"[{""start"": 101, ""end"": 124, ""url"": ""https://t.co/kPeSld0fuY"", ""expanded_url"": ""https://mathstodon.xyz/web/@johncarlosbaez"", ""display_url"": ""mathstodon.xyz/web/@johncarlo\u2026""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/7zeTltXoVf"", ""expanded_url"": ""http://math.ucr.edu/home/baez/"", ""display_url"": ""math.ucr.edu/home/baez/""}]","Riverside, CA",1589698105498562562,https://pbs.twimg.com/profile_images/1587101872439033858/ad_Nhi4i_normal.jpg,False,68803,346,889,39316,https://t.co/7zeTltXoVf,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,9.590274,0.0,346.0,"Wed, 07 Dec 2022 00:00:00 GMT",39823654.0,0.81645703,0.0,,1492.0,1672.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,346.0,Effective Altruism,"Fri, 02 Dec 2022 15:37:08 GMT",942629708029607936,2017-12-18T05:36:50.000Z,nopranablem,Pranab,Adventures in causality | just a sillyboi,,,,,,"Austin, TX 🤠",1503088656898211855,https://pbs.twimg.com/profile_images/1577858873259704320/_XoCAn0u_normal.jpg,False,2874,1898,54,8189,,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,27.316807,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39893610.0,0.89971715,0.0,,1156.0,1420.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",942629708029607936,2017-12-18T05:36:50.000Z,nopranablem,Pranab,Adventures in causality | just a sillyboi,,,,,,"Austin, TX 🤠",1503088656898211855,https://pbs.twimg.com/profile_images/1577858873259704320/_XoCAn0u_normal.jpg,False,2874,1898,54,8189,,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,227.01138,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39940782.0,0.9505056,0.0,,153.0,174.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",942629708029607936,2017-12-18T05:36:50.000Z,nopranablem,Pranab,Adventures in causality | just a sillyboi,,,,,,"Austin, TX 🤠",1503088656898211855,https://pbs.twimg.com/profile_images/1577858873259704320/_XoCAn0u_normal.jpg,False,2874,1898,54,8189,,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,11.618515,-1.4578857,116.0,"Wed, 07 Dec 2022 00:00:00 GMT",40099165.0,0.699659,-0.05495578,,7634.0,8317.0,0.0011975404,"Tue, 24 May 2022 10:46:14 GMT",,116.0,Venture Capital,"Tue, 24 May 2022 10:46:14 GMT",610392096,2012-06-16T22:07:52.000Z,connerdelights,Andrew Conner,"⛰ building @Levels, solving the metabolic health crisis \n⌨️ https://t.co/cmLcrsXNzJ \n🗣 community, connection, longevity, metamodernism, surfing ominous undercurrents",,,"[{""start"": 11, ""end"": 18, ""username"": ""Levels""}]","[{""start"": 60, ""end"": 83, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","Durango, Colorado",,https://pbs.twimg.com/profile_images/1524500869063929856/lofgYorj_normal.jpg,False,2326,944,56,2215,https://t.co/cmLcrsXNzJ,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,33.89311,0.0,238.0,"Wed, 07 Dec 2022 00:00:00 GMT",41339515.0,0.7122848,0.0,,1925.0,2110.0,0.0,"Thu, 28 Jul 2022 14:25:40 GMT",,238.0,Indie Hackers,"Thu, 28 Jul 2022 14:25:40 GMT",610392096,2012-06-16T22:07:52.000Z,connerdelights,Andrew Conner,"⛰ building @Levels, solving the metabolic health crisis \n⌨️ https://t.co/cmLcrsXNzJ \n🗣 community, connection, longevity, metamodernism, surfing ominous undercurrents",,,"[{""start"": 11, ""end"": 18, ""username"": ""Levels""}]","[{""start"": 60, ""end"": 83, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","Durango, Colorado",,https://pbs.twimg.com/profile_images/1524500869063929856/lofgYorj_normal.jpg,False,2326,944,56,2215,https://t.co/cmLcrsXNzJ,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,92.6534,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39892707.0,0.7546814,0.0,,420.0,517.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",610392096,2012-06-16T22:07:52.000Z,connerdelights,Andrew Conner,"⛰ building @Levels, solving the metabolic health crisis \n⌨️ https://t.co/cmLcrsXNzJ \n🗣 community, connection, longevity, metamodernism, surfing ominous undercurrents",,,"[{""start"": 11, ""end"": 18, ""username"": ""Levels""}]","[{""start"": 60, ""end"": 83, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/cmLcrsXNzJ"", ""expanded_url"": ""http://andrewconner.com"", ""display_url"": ""andrewconner.com""}]","Durango, Colorado",,https://pbs.twimg.com/profile_images/1524500869063929856/lofgYorj_normal.jpg,False,2326,944,56,2215,https://t.co/cmLcrsXNzJ,False,,,,2022-12-15T20:19:13+00:00,https://api.twitter.com/2/users/1166420252898603008/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
