latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
4.1.0,111.7051,0.0,243.0,"Wed, 07 Dec 2022 00:00:00 GMT",41249030.0,0.6477436,0.0,,556.0,618.0,0.0,"Thu, 28 Jul 2022 14:25:40 GMT",,243.0,Machine Learning,"Thu, 28 Jul 2022 14:25:40 GMT",535358285,2012-03-24T13:47:22.000Z,DavidSHolz,David Holz,"founder @midjourney, prev co-founder / cto leap motion, nasa, max planck",,,"[{""start"": 8, ""end"": 19, ""username"": ""midjourney""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/NM5o3ijqsc"", ""expanded_url"": ""https://twitter.com/search?q=from%3Adavidsholz%20min_faves%3A100&src=typed_query"", ""display_url"": ""twitter.com/search?q=from%\u2026""}]","San Francisco, CA",1205771264771739648,https://pbs.twimg.com/profile_images/1192305308908965888/U6EFtDGL_normal.jpg,False,10291,3613,194,3168,https://t.co/NM5o3ijqsc,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,214.55402,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39892349.0,0.78558064,0.0,,133.0,159.0,0.016040878,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",535358285,2012-03-24T13:47:22.000Z,DavidSHolz,David Holz,"founder @midjourney, prev co-founder / cto leap motion, nasa, max planck",,,"[{""start"": 8, ""end"": 19, ""username"": ""midjourney""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/NM5o3ijqsc"", ""expanded_url"": ""https://twitter.com/search?q=from%3Adavidsholz%20min_faves%3A100&src=typed_query"", ""display_url"": ""twitter.com/search?q=from%\u2026""}]","San Francisco, CA",1205771264771739648,https://pbs.twimg.com/profile_images/1192305308908965888/U6EFtDGL_normal.jpg,False,10291,3613,194,3168,https://t.co/NM5o3ijqsc,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,40.149498,0.0,7799179300.0,"Wed, 07 Dec 2022 00:00:00 GMT",40659095.0,0.79326916,0.0,,1579.0,1771.0,0.0,"Fri, 27 Aug 2021 15:14:17 GMT",,7799179300.0,Data Science,"Fri, 27 Aug 2021 15:14:17 GMT",16478037,2008-09-27T00:38:48.000Z,johnvmcdonnell,John McDonnell,"AI, tech, media, etc.\n\nCurrently on sabbatical at South Park Commons. Alum of Stitch Fix, Square, Gureckis Lab @ NYU, McGill.\n\nhttps://t.co/Imo0ZXEqPG",,,,"[{""start"": 127, ""end"": 150, ""url"": ""https://t.co/Imo0ZXEqPG"", ""expanded_url"": ""http://jmcdonnell.substack.com"", ""display_url"": ""jmcdonnell.substack.com""}]",,Oakland,1592646172384325633,https://pbs.twimg.com/profile_images/1591144651297169408/hGTUM0jq_normal.jpg,False,2095,1708,81,1135,,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1599587232175849472,2022-12-05T02:12:13.000Z,perplexity_ai,Perplexity AI,AI powered search tools,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/OOHQ3eabr2"", ""expanded_url"": ""http://perplexity.ai"", ""display_url"": ""perplexity.ai""}]",United States,1603441221753372673,https://pbs.twimg.com/profile_images/1599589028860510208/skCOx1Y__normal.jpg,False,4685,6,84,39,https://t.co/OOHQ3eabr2,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,46.573174,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39941778.0,0.90234417,0.0,,1007.0,1170.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",1257104506439041024,2020-05-04T00:27:34.000Z,leahprime,Leah (Prime) 🦊 (24/100),"complex systems, ethical tech, emergent phenomenology, infinite games ✨ DMs open for new friends 🙏❤️ pfp by @meekaale • overachieving alt @leahcomplex",,,"[{""start"": 108, ""end"": 117, ""username"": ""meekaale""}, {""start"": 138, ""end"": 150, ""username"": ""leahcomplex""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/Q6q68OqqfT"", ""expanded_url"": ""https://leahprime.substack.com"", ""display_url"": ""leahprime.substack.com""}]",@leahprime@masto.ai ,1583863241473953793,https://pbs.twimg.com/profile_images/1596952765628039169/nJ_BHPV9_normal.jpg,False,2417,863,23,4170,https://t.co/Q6q68OqqfT,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1423733191005724672,2021-08-06T19:51:07.000Z,metaphorsystems,Metaphor,search the internet with prompts,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/BHUd1NZEr5"", ""expanded_url"": ""https://metaphor.systems"", ""display_url"": ""metaphor.systems""}]",,,https://pbs.twimg.com/profile_images/1564553979136077824/vcTThVHn_normal.jpg,False,3314,3,72,9,https://t.co/BHUd1NZEr5,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,7.2532377,0.0,243.0,"Wed, 07 Dec 2022 00:00:00 GMT",41253996.0,0.8641493,0.0,583.0,,5584.0,0.00090175157,"Thu, 28 Jul 2022 14:25:40 GMT",,243.0,Machine Learning,"Thu, 28 Jul 2022 14:25:40 GMT",708922429,2012-07-21T12:43:18.000Z,LambdaAPI,Lambda,"GPU cloud, workstations, servers, laptops, and clusters for Deep Learning.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/rJjQMNBq37"", ""expanded_url"": ""http://lambdalabs.com"", ""display_url"": ""lambdalabs.com""}]","San Francisco, CA",1428030916044197893,https://pbs.twimg.com/profile_images/1513998580071256073/6PB26Zto_normal.jpg,False,7283,175,96,543,https://t.co/rJjQMNBq37,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,1.0578068,0.0,7799179300.0,"Wed, 07 Dec 2022 00:00:00 GMT",40671616.0,0.6785508,0.0,1800.0,,14292.0,0.0,"Fri, 27 Aug 2021 15:14:17 GMT",,7799179300.0,Data Science,"Fri, 27 Aug 2021 15:14:17 GMT",708922429,2012-07-21T12:43:18.000Z,LambdaAPI,Lambda,"GPU cloud, workstations, servers, laptops, and clusters for Deep Learning.",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/rJjQMNBq37"", ""expanded_url"": ""http://lambdalabs.com"", ""display_url"": ""lambdalabs.com""}]","San Francisco, CA",1428030916044197893,https://pbs.twimg.com/profile_images/1513998580071256073/6PB26Zto_normal.jpg,False,7283,175,96,543,https://t.co/rJjQMNBq37,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,61.861515,0.0,351.0,"Wed, 07 Dec 2022 00:00:00 GMT",39892984.0,0.8383751,0.0,155.0,,794.0,0.0,"Fri, 02 Dec 2022 15:37:08 GMT",,351.0,Personal Knowledge Management,"Fri, 02 Dec 2022 15:37:08 GMT",1506037937040859140,2022-03-21T22:42:12.000Z,thesfcommons,The Commons,"A community and 3rd space for inner-outer curiosity, co-created play & collective flourishing in SF ☕  join 👉 https://t.co/inNZekJYRM",,,,"[{""start"": 110, ""end"": 133, ""url"": ""https://t.co/inNZekJYRM"", ""expanded_url"": ""http://bit.ly/JoinTheCommons"", ""display_url"": ""bit.ly/JoinTheCommons""}]","[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/KTJ8t8p3Ka"", ""expanded_url"": ""http://www.thesfcommons.com"", ""display_url"": ""thesfcommons.com""}]","540/550 Laguna St, SF",1599928031627579392,https://pbs.twimg.com/profile_images/1550526714639314944/Xn9dKaa8_normal.jpg,False,3124,2,14,316,https://t.co/KTJ8t8p3Ka,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
4.1.0,2.910239,0.0,116.0,"Wed, 07 Dec 2022 00:00:00 GMT",40108885.0,0.6541561,0.0,,16101.0,18037.0,0.0,"Tue, 24 May 2022 10:46:14 GMT",,116.0,Venture Capital,"Tue, 24 May 2022 10:46:14 GMT",2628093857,2014-06-21T09:40:04.000Z,apagajewski,Alex Gajewski,building a new search engine @metaphorsystems,,,"[{""start"": 29, ""end"": 45, ""username"": ""metaphorsystems""}]",,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/VSPCLUv17q"", ""expanded_url"": ""https://metaphor.systems"", ""display_url"": ""metaphor.systems""}]",San Francisco,,https://pbs.twimg.com/profile_images/1387488328895930368/EiqYr-ta_normal.jpg,False,1038,567,17,12,https://t.co/VSPCLUv17q,False,,,,2022-12-16T04:31:30+00:00,https://api.twitter.com/2/users/322603863/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
