latest_scores.algo_version,latest_scores.attention_score,latest_scores.attention_score_change_week,latest_scores.cluster_id,latest_scores.created_at,latest_scores.id,latest_scores.insider_score,latest_scores.insider_score_change_week,latest_scores.organisation_rank,latest_scores.personal_rank,latest_scores.rank,latest_scores.vote,clusters.created_at,clusters.description,clusters.id,clusters.name,clusters.updated_at,id,created_at,username,name,description,entities.description.cashtags,entities.description.hashtags,entities.description.mentions,entities.description.urls,entities.url.urls,location,pinned_tweet_id,profile_image_url,protected,public_metrics.followers_count,public_metrics.following_count,public_metrics.listed_count,public_metrics.tweet_count,url,verified,withheld.scope,withheld.copyright,withheld.country_codes,__twarc.retrieved_at,__twarc.url,__twarc.version,
4.1.0,202.38202,0.0,357.0,"Wed, 07 Dec 2022 00:00:00 GMT",39940826.0,0.66505545,0.0,,191.0,218.0,0.0,"Fri, 02 Dec 2022 15:37:09 GMT",,357.0,Game B,"Fri, 02 Dec 2022 15:37:09 GMT",870284449274937345,2017-06-01T14:22:36.000Z,BenjaminABoyce,Benjamin Boyce,"ᓚᘏᗢ weak opinions, strongly worded ᗢᘏᓗ",,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/yPKnL2dmQW"", ""expanded_url"": ""http://youtube.com/BenjaminABoyce"", ""display_url"": ""youtube.com/BenjaminABoyce""}]","Olympia, WA",1589300998602096640,https://pbs.twimg.com/profile_images/1592012959227998208/aBU2HBRE_normal.jpg,False,46680,1926,274,36160,https://t.co/yPKnL2dmQW,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1459091113760137217,2021-11-12T09:30:23.000Z,ikemen_sensei_,イケメン先生,馬鹿と天才は紙一量,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/jbRzy3Bwjd"", ""expanded_url"": ""https://slimewire-podcast.simplecast.com/"", ""display_url"": ""slimewire-podcast.simplecast.com""}]",加古川本町、加古川県,,https://pbs.twimg.com/profile_images/1509789063100112896/FqMjLd1b_normal.jpg,False,73,465,1,654,https://t.co/jbRzy3Bwjd,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1602500608459558913,2022-12-13T03:08:37.000Z,Immune2Kovid13G,@RWreformer,1st female @neuralink test subject,,,"[{""start"": 11, ""end"": 21, ""username"": ""neuralink""}]",,,,1602715404505387012,https://pbs.twimg.com/profile_images/1602505119714578432/QaGvE2c6_normal.jpg,False,23,24,0,29,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1370191925320380417,2021-03-12T01:56:36.000Z,RobAmericana,UncleAcid,FuzzRiffs,,,,,,,,https://pbs.twimg.com/profile_images/1580602667172507650/PMkftAZt_normal.jpg,False,76,505,2,5469,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1592021854344077313,2022-11-14T05:09:31.000Z,dreamlogic108,jessica,she/her / 26 / tarot / art / history / food / star wars / idk,,,,,,,,https://pbs.twimg.com/profile_images/1592770602196140032/8L8h7G2l_normal.jpg,False,162,132,0,118,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1562115959648706560,2022-08-23T16:34:15.000Z,knowhero_,Know Hero,,,,,,,,,https://pbs.twimg.com/profile_images/1562118451916730369/lmMBbqWZ_normal.jpg,False,75,259,0,328,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1533347714733318144,2022-06-05T07:19:25.000Z,retardbrah,Retardbrah PhD,I'm a liar a hater and 6'2,,,,,,"Tejas, Puerto Rico",1547639524909469697,https://pbs.twimg.com/profile_images/1600695340503650304/4qwAsaxo_normal.jpg,True,249,222,1,703,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1511194414693203969,2022-04-05T04:10:10.000Z,altschlar,pschlarm alt,megyn kelly roach motel,,,,,,"Brooklyn, NY",,https://pbs.twimg.com/profile_images/1591056042410053638/BAKM5oBw_normal.jpg,False,366,208,1,1164,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,1115567288348966912,2019-04-09T10:49:02.000Z,akinishiki,akemi,22 | ♀English/日本語 | future wife of @AfrikaansCath | ‘kikokushijo’,,,"[{""start"": 35, ""end"": 49, ""username"": ""AfrikaansCath""}]",,,"Tokyo-to, Japan",1552340507598241793,https://pbs.twimg.com/profile_images/1478856176548913163/I-HCsHGS_normal.jpg,False,307,255,5,3946,,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
,,,,,,,,,,,,,,,,,144017966,2010-05-15T02:28:44.000Z,Arlmeme,🐛,,,,,,"[{""start"": 0, ""end"": 23, ""url"": ""https://t.co/o4hVmMM6Iz"", ""expanded_url"": ""https://revolut.me/arlene0tas"", ""display_url"": ""revolut.me/arlene0tas""}]","Dublin City, Ireland",,https://pbs.twimg.com/profile_images/1590392383656677377/w87DbBLj_normal.jpg,False,2377,867,7,99912,https://t.co/o4hVmMM6Iz,False,,,,2022-12-16T04:16:22+00:00,https://api.twitter.com/2/users/93279842/following?tweet.fields=attachments%2Cauthor_id%2Ccontext_annotations%2Cconversation_id%2Ccreated_at%2Centities%2Cgeo%2Cid%2Cin_reply_to_user_id%2Clang%2Cpublic_metrics%2Ctext%2Cpossibly_sensitive%2Creferenced_tweets%2Creply_settings%2Csource%2Cwithheld%2Cedit_controls&user.fields=created_at%2Cdescription%2Centities%2Cid%2Clocation%2Cname%2Cpinned_tweet_id%2Cprofile_image_url%2Cprotected%2Cpublic_metrics%2Curl%2Cusername%2Cverified%2Cwithheld&max_results=1000,2.12.0,
